Time(s),Fluorescence(counts)
0.000000,62.015227
0.100000,54.854964
0.200000,61.891187
0.300000,53.275283
0.400000,59.173550
0.500000,54.884966
0.600000,31.901055
0.700000,30.210079
0.800000,27.690231
0.900000,64.306142
1.000000,57.313242
1.100000,50.909984
1.200000,61.544795
1.300000,54.704418
1.400000,57.409509
1.500000,58.452823
1.600000,25.733205
1.700000,28.524328
1.800000,25.789989
1.900000,30.493308
2.000000,26.320247
2.100000,30.097246
2.200000,63.493154
2.300000,62.354574
2.400000,59.762647
2.500000,57.041892
2.600000,60.485959
2.700000,27.921595
2.800000,30.612446
2.900000,24.863544
3.000000,32.431507
3.100000,30.109698
3.200000,36.635922
3.300000,63.928881
3.400000,61.709581
3.500000,59.639366
3.600000,57.822856
3.700000,62.839221
3.800000,59.323908
3.900000,63.517735
4.000000,61.215435
4.100000,61.237281
4.200000,61.797192
4.300000,57.255056
4.400000,56.947853
4.500000,56.844457
4.600000,33.157400
4.700000,-2.821931
4.800000,-2.447922
4.900000,1.628433
5.000000,-0.739942
5.100000,-1.122853
5.200000,-1.382812
5.300000,23.040282
5.400000,-2.883143
5.500000,3.562515
5.600000,-1.600045
5.700000,-5.682996
5.800000,26.994815
5.900000,1.098683
6.000000,1.039549
6.100000,-0.863073
6.200000,-2.047519
6.300000,-4.186171
6.400000,1.125296
6.500000,2.534676
6.600000,3.888029
6.700000,-3.310050
6.800000,4.118605
6.900000,29.852524
7.000000,30.102400
7.100000,2.703784
7.200000,28.400470
7.300000,23.532247
7.400000,32.138564
7.500000,31.070015
7.600000,28.943797
7.700000,31.892545
7.800000,32.506105
7.900000,25.489579
8.000000,30.093461
8.100000,23.193558
8.200000,29.655490
8.300000,28.908667
8.400000,31.502944
8.500000,-3.191625
8.600000,-1.236595
8.700000,50.380017
8.800000,61.701023
8.900000,59.763636
9.000000,60.290884
9.100000,85.549191
9.200000,91.223993
9.300000,64.988379
9.400000,59.475716
9.500000,61.981044
9.600000,57.419238
9.700000,59.800856
9.800000,55.437726
9.900000,62.396437
10.000000,60.511917
10.100000,56.374860
10.200000,57.627456
10.300000,60.216624
10.400000,32.805284
10.500000,34.472594
10.600000,29.631960
10.700000,25.940714
10.800000,30.750379
10.900000,35.389954
11.000000,25.167385
11.100000,27.172167
11.200000,1.869170
11.300000,0.497398
11.400000,-1.598136
11.500000,0.697589
11.600000,2.970206
11.700000,-0.257115
11.800000,-0.519806
11.900000,1.805613
12.000000,-0.772681
12.100000,3.466757
12.200000,6.119729
12.300000,-2.638993
12.400000,26.290080
12.500000,31.155637
12.600000,26.184289
12.700000,26.133394
12.800000,23.893832
12.900000,28.895015
13.000000,29.943124
13.100000,48.578202
13.200000,34.213741
13.300000,33.990726
13.400000,35.829920
13.500000,60.183296
13.600000,33.595491
13.700000,30.970915
13.800000,30.669827
13.900000,-1.357156
14.000000,-6.744115
14.100000,1.957523
14.200000,3.508380
14.300000,-4.530559
14.400000,0.017521
14.500000,3.021882
14.600000,-1.031233
14.700000,3.626897
14.800000,-0.372940
14.900000,-1.527244
15.000000,3.799415
15.100000,-2.752384
15.200000,-2.125512
15.300000,27.362885
15.400000,26.622059
15.500000,30.509270
15.600000,28.511687
15.700000,31.516652
15.800000,24.847215
15.900000,26.683814
16.000000,30.206518
16.100000,34.461145
16.200000,31.187932
16.300000,28.284577
16.400000,-4.415523
16.500000,-1.890145
16.600000,-0.073736
16.700000,22.980963
16.800000,26.414251
16.900000,27.842015
17.000000,29.282780
17.100000,59.892319
17.200000,58.223047
17.300000,61.573592
17.400000,30.430416
17.500000,-1.053573
17.600000,1.988266
17.700000,31.743084
17.800000,25.696188
17.900000,29.961823
18.000000,32.729010
18.100000,33.231018
